"NomAnaph","Nevertheless,  in  view  of  the  world-wide  notoriety  which  attended  it,  I  have  been  asked,  both  by  my  friend  Poirot  and  the  family  themselves,  to  write  an  account  of  the  whole  story. ","13","38","5","4","6","false","VBD","WDT","NN","JJ",",","PRP","VBP","VBN","false","false","1","true","false","false","true","18","9","true","obj","false","false"
"ClauseAnaph","It's  simply  bare-faced  fortune  hunting;  but  there  you  are...she  is  her  own  mistress,  and  she's  married  him. ","1","26","4","0","7","false","ABS","ABS","ABS","ABS","VBZ","RB","JJ","HYPH","false","false","3","false","true","false","true","0","0","true","nsubj","false","false"
"NomAnaph","Mary  was  situated  about  two  miles  from  the  little  station,  and  Styles  Court  lay  a  mile  the  other  side  of  it. ","22","23","2","7","0","false","IN","NN","JJ","DT","ABS","ABS","ABS","ABS","false","false","0","false","false","false","false","0","0","false","nmod:of","false","false"
"ClauseAnaph","She  is  up  at  five  every  morning  to  milk,  and  keeps  at  it  steadily  until  lunchtime. ","14","18","2","4","0","false","IN","VBZ","CC",",","RB","IN","NN","ABS","false","false","0","false","false","false","false","0","3","false","obl:at","false","false"
"ClauseAnaph","Don't  say  it. ","4","5","1","1","0","false","VB","RB","VB","ABS","ABS","ABS","ABS","ABS","false","false","0","true","false","false","false","0","0","false","obj","false","false"
"NomAnaph","In  case  of  a  refusal,  Lady  Tadminster  might  open  it  the  first  day,  and  Mrs.  Crosbie  the  second. ","11","21","3","5","1","false","VB","MD","NNP","NNP","DT","JJ","NN",",","false","false","2","true","false","false","true","0","0","false","obj","false","false"
"NomAnaph","The  French  window  swung  open  a  little  wider,  and  a  handsome  white-haired  old  lady,  with  a  somewhat  masterful  cast  of  features,  stepped  out  of  it  on  to  the  lawn. ","30","35","4","7","0","false","IN","IN","VBD",",","IN","IN","DT","NN","false","true","0","false","false","false","false","0","2","false","obl:out_of","false","false"
"NomAnaph","It  was  one  of  the  longest  and  blackest  I  have  ever  seen. ","1","13","1","0","4","false","ABS","ABS","ABS","ABS","VBD","CD","IN","DT","false","false","2","false","true","false","true","0","4","false","nsubj","false","false"
"ClauseAnaph","It  struck  me  that  he  might  look  natural  on  a  stage,  but  was  strangely  out  of  place  in  real  life. ","1","22","2","0","5","false","ABS","ABS","ABS","ABS","VBD","PRP","IN","PRP","false","false","2","false","true","false","true","0","4","true","nsubj","false","true"
"NomAnaph","And  you  will  return  there  after  it  is  over? ","7","10","1","2","0","false","IN","RB","VB","MD","VBZ","IN","ABS","ABS","false","false","0","false","true","false","false","0","3","false","nsubj","false","false"
"ClauseAnaph","But  really,  seriously,  I  am  awfully  drawn  to  it. ","11","12","3","2","0","false","IN","VBN","RB","VBP","ABS","ABS","ABS","ABS","false","false","0","false","false","false","false","0","0","false","obl:to","false","false"
"NomAnaph","Don't  mean  the  police,  but  the  people  that  are  right  in  it. ","14","15","2","3","0","false","IN","JJ","VBP","WDT","ABS","ABS","ABS","ABS","false","false","0","false","false","false","false","0","0","false","obl:in","false","false"
"ClauseAnaph","Mightn't  be  able  to  prove  it  to  a  pack  of  lawyers. ","7","13","1","2","0","false","VB","TO","JJ","VB","IN","DT","NN","IN","false","true","0","true","false","false","false","0","2","false","obj","false","false"
"NomAnaph","Associate  it  more  with  a  man. ","2","7","1","1","1","false","ABS","ABS","ABS","ABS","RBR","IN","DT","NN","false","false","0","false","false","false","false","0","3","false","dep","false","false"
